n,df,d,i,power,cohend_mean,cohend_sd
300,8,0.45,10,0.9592,0.4697789155908388,0.12060632248358075
300,8,0.5,10,0.9856,0.5209283375708741,0.12161566994592045
400,8,0,10,0.0256,-0.0011206467473985147,0.10096986680803004
400,8,0.05,10,0.0442,0.051293364055349296,0.10093396975589335
400,8,0.1,10,0.1167,0.10366897296983987,0.10101834010131676
400,8,0.15000000000000002,10,0.242,0.15589362951859895,0.10123640119020265
400,8,0.2,10,0.4248,0.2080390190222488,0.10159626726073635
400,8,0.25,10,0.6281,0.2600653955433407,0.10197886989790717
400,8,0.30000000000000004,10,0.7996,0.31199949277509187,0.1024816331331853
400,8,0.35000000000000003,10,0.9121,0.3635661577276782,0.10302157520967502
400,8,0.4,10,0.9672,0.41497723595161967,0.10358610207413269
400,8,0.45,10,0.9893,0.46619688492494876,0.10425670228090331
400,8,0.5,10,0.9977,0.5171183512815323,0.10490434743614195
500,8,0,10,0.0242,-8.050554930555384e-4,0.09043879316274932
500,8,0.05,10,0.0502,0.05151426803514818,0.09048162852159959
500,8,0.1,10,0.1417,0.10383170691346154,0.0906446771994627
500,8,0.15000000000000002,10,0.3045,0.15613218780005556,0.09088263373346847
500,8,0.2,10,0.5261,0.20815156945734378,0.09120479822263591
500,8,0.25,10,0.7377,0.2601637114162166,0.09151154621563644
500,8,0.30000000000000004,10,0.8833,0.31191456089152353,0.09207558151603051
500,8,0.35000000000000003,10,0.9612,0.3633936999471425,0.0926180391829968
500,8,0.4,10,0.9909,0.4146270260475097,0.09332190690778681
500,8,0.45,10,0.9986,0.465521312202411,0.09410602443205572
500,8,0.5,10,0.9997,0.5162256517178507,0.09492336068528211
600,8,0,10,0.0273,4.803699245135898e-5,0.08285819622283336
600,8,0.05,10,0.0572,0.05224840117888022,0.0827810865259902
600,8,0.1,10,0.1646,0.10440623239594556,0.08287588349567801
600,8,0.15000000000000002,10,0.3676,0.15652194600553002,0.08302448200283495
600,8,0.2,10,0.6188,0.20846034575572173,0.0832988019719662
600,8,0.25,10,0.816,0.26015355310892874,0.08350258540345154
600,8,0.30000000000000004,10,0.9348,0.3117574749891988,0.08385160452650306
600,8,0.35000000000000003,10,0.9849,0.36312853228300673,0.08439539780341557
600,8,0.4,10,0.9973,0.41396806492532007,0.08504620870344427
600,8,0.45,10,0.9993,0.4648238677013226,0.08593764699126008
600,8,0.5,10,1,0.5152259964289941,0.08652729049460338
700,8,0,10,0.0251,8.347784069529023e-4,0.07568136563056144
700,8,0.05,10,0.0631,0.05307075082581977,0.07568898936273548
700,8,0.1,10,0.1955,0.10525379718867627,0.07582467186065629
700,8,0.15000000000000002,10,0.4303,0.15737482690537485,0.0760167542066416
700,8,0.2,10,0.6945,0.20933239454725838,0.07630572785151168
700,8,0.25,10,0.8851,0.2610112735195511,0.07669120768901126
700,8,0.30000000000000004,10,0.9667,0.312512843589493,0.07715807896953002
700,8,0.35000000000000003,10,0.9947,0.36365106751663023,0.07771543226568942
700,8,0.4,10,0.9994,0.41450892866770755,0.07825563263146951
700,8,0.45,10,1,0.46519258713289624,0.07895220735335187
700,8,0.5,10,1,0.5155487946610011,0.07967762997752845
800,8,0,10,0.0244,8.253661800373417e-4,0.07035945568495551
800,8,0.05,10,0.0672,0.05298165516049049,0.07032343306383197
800,8,0.1,10,0.2227,0.10510758172390196,0.07046482210905011
800,8,0.15000000000000002,10,0.4845,0.15712906955349412,0.0707062504426722
800,8,0.2,10,0.7554,0.2090648698883268,0.07100710417022504
800,8,0.25,10,0.9231,0.26075135901959456,0.07136085288985546
800,8,0.30000000000000004,10,0.984,0.31230689234152326,0.07196347648190746
800,8,0.35000000000000003,10,0.9984,0.3633969491605072,0.07251567603193834
800,8,0.4,10,1,0.41406769319950915,0.07308077170773974
800,8,0.45,10,1,0.46457856076922605,0.07377377975865339
800,8,0.5,10,1,0.5148036182899117,0.07454936420924503
900,8,0,10,0.026,-3.9982444380395475e-4,0.06671936761558946
900,8,0.05,10,0.0727,0.05176977792085418,0.06679671484034032
900,8,0.1,10,0.2449,0.10391006668081544,0.06696218722360092
900,8,0.15000000000000002,10,0.5334,0.15592747713906507,0.06732602165067895
900,8,0.2,10,0.8037,0.2077964569439189,0.06762977321698017
900,8,0.25,10,0.9494,0.2594410887926023,0.06802541926110321
900,8,0.30000000000000004,10,0.9908,0.31096470918137664,0.06849732353313916
900,8,0.35000000000000003,10,0.9996,0.3619676207293033,0.06905397551525175
900,8,0.4,10,1,0.41263659133499236,0.06970009319900157
900,8,0.45,10,1,0.4628344477816144,0.07018230008456207
900,8,0.5,10,1,0.5128184206205271,0.07062434006096005
1000,8,0,10,0.0245,-0.001363263765469593,0.06333598708140331
1000,8,0.05,10,0.075,0.05081500566394723,0.06334967889075507
1000,8,0.1,10,0.2642,0.10293700753213221,0.06342239079529813
1000,8,0.15000000000000002,10,0.578,0.15488093638974393,0.06358879279086642
1000,8,0.2,10,0.8414,0.20675437320440632,0.0638892370050641
1000,8,0.25,10,0.9658,0.25842981668544335,0.06427045862879328
